@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
75,3855,4,4,5,5,3,4,5,4,4,5,4.181818,4
9,151,4,5,4,5,0,0,5,0,5,5,4.03125,5
77,1,5,4,5,4,5,5,5,5,4,5,4.181818,5
85,3517,3,4,5,5,0,1,5,5,5,5,4.555556,4
75,9,5,4,4,5,4,5,4,3,5,5,4,4
86,278,4,0,5,4,0,0,5,0,3,0,4.181818,5
69,3926,3,5,5,5,4,4,5,4,3,4,5,4
9,4139,5,3,5,5,5,0,5,0,5,5,4.142857,4
87,3855,2,3,4,5,0,0,4,0,3,4,4,3
83,7915,5,5,5,5,5,5,5,5,5,5,4.972222,5
73,3499,3,4,5,4,5,0,5,0,3,4,4.5,4
77,55,4,3,4,4,5,5,5,5,4,4,4.03125,4
73,3192,4,3,4,4,4,0,5,0,3,5,4.03125,4
15,3546,3,5,5,4,5,1,5,5,3,5,5,5
79,3855,4,4,5,5,4,5,5,4,4,4,4.181818,4
15,9,5,3,5,5,3,1,5,4,1,5,3.571429,4
9,27,5,4,5,5,5,0,5,0,4,5,3.571429,4
9,4456,1,2,3,2,1,0,2,0,1,2,2.909091,2
75,29,5,4,5,5,4,5,5,4,4,5,4.176471,4
70,308,3,3,4,3,3,0,3,0,3,0,4.108108,3
82,3855,3,1,3,4,4,4,4,3,4,5,2.909091,3
89,557,4,5,5,4,4,4,4,3,4,3,4.1,5
9,13307,5,5,5,5,0,0,5,0,5,5,4.972222,5
71,8267,3,5,5,4,3,4,5,3,4,5,4.535714,4
77,557,4,4,3,5,5,5,4,4,4,3,2.909091,4
40,3855,3,4,5,4,4,5,5,4,4,5,4.176471,5
74,9,0,4,4,5,0,0,5,0,5,5,4.230769,4
73,151,4,5,5,5,3,0,5,0,4,5,4.535714,5
9,3562,5,4,5,5,3,0,5,0,5,5,4.176471,4
75,4139,5,4,5,5,4,5,5,4,4,5,4.176471,4
9,13314,3,4,4,4,4,0,3,0,3,3,3,3
16,29,4,4,3,4,2,3,4,0,3,3,2.909091,3
75,3517,5,5,5,5,4,5,5,4,5,5,4.972222,5
83,3489,5,5,5,5,0,0,5,0,5,4,4.972222,5
66,151,5,4,5,5,0,0,5,0,5,3,4.176471,4
83,4032,5,4,5,5,5,0,5,0,5,4,4.176471,4
16,3855,5,4,5,5,5,5,5,3,5,5,4.176471,5
70,3138,4,5,5,4,5,5,5,0,3,0,4.535714,5
89,4139,4,4,5,5,5,4,5,4,4,5,4.176471,4
9,3499,5,5,5,5,5,0,5,0,5,5,4.199005,5
16,3499,3,4,4,4,3,0,4,2,3,5,4.199005,4
67,9,5,4,4,4,0,0,5,0,0,5,4.199005,4
73,43,4,4,5,5,4,0,5,0,4,5,4.199005,5
43,20,4,3,4,5,3,5,5,3,4,3,4.199005,4
48,151,5,5,5,4,0,0,5,0,4,5,4.199005,5
83,700,5,5,5,5,5,0,5,0,5,5,4.199005,5
19,72,4,5,5,5,3,5,5,1,3,5,4.199005,4
52,3546,3,4,4,4,4,4,4,3,4,4,4.199005,4
73,3517,4,3,4,4,5,0,5,0,3,5,4.199005,4
16,9,5,3,5,5,4,5,5,0,5,5,4.199005,4
