@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
75,43,4,4,4,3,3,4,4,3,3,4,4.277978,4
75,3855,4,4,5,5,3,4,5,4,4,5,4.438817,4
9,151,4,5,4,5,0,0,5,0,5,5,4.083948,5
77,1,5,4,5,4,5,5,5,5,4,5,4.577739,5
85,3517,3,4,5,5,0,1,5,5,5,5,4.084304,4
75,9,5,4,4,5,4,5,4,3,5,5,4.468306,4
86,278,4,0,5,4,0,0,5,0,3,0,3.861053,5
69,3926,3,5,5,5,4,4,5,4,3,4,4.436241,4
9,4139,5,3,5,5,5,0,5,0,5,5,3.903351,4
87,3855,2,3,4,5,0,0,4,0,3,4,3.85921,3
83,7915,5,5,5,5,5,5,5,5,5,5,4.760911,5
73,3499,3,4,5,4,5,0,5,0,3,4,4.246086,4
77,55,4,3,4,4,5,5,5,5,4,4,4.325392,4
73,3192,4,3,4,4,4,0,5,0,3,5,4.209804,4
15,3546,3,5,5,4,5,1,5,5,3,5,3.775276,5
79,3855,4,4,5,5,4,5,5,4,4,4,4.547017,4
15,9,5,3,5,5,3,1,5,4,1,5,3.76707,4
9,27,5,4,5,5,5,0,5,0,4,5,4.047666,4
9,4456,1,2,3,2,1,0,2,0,1,2,2.755059,2
75,29,5,4,5,5,4,5,5,4,4,5,4.638424,4
70,308,3,3,4,3,3,0,3,0,3,0,3.686177,3
82,3855,3,1,3,4,4,4,4,3,4,5,3.825397,3
89,557,4,5,5,4,4,4,4,3,4,3,4.502098,5
9,13307,5,5,5,5,0,0,5,0,5,5,4.245316,5
71,8267,3,5,5,4,3,4,5,3,4,5,4.477065,4
77,557,4,4,3,5,5,5,4,4,4,3,4.322646,4
40,3855,3,4,5,4,4,5,5,4,4,5,4.188131,5
74,9,0,4,4,5,0,0,5,0,5,5,3.870306,4
73,151,4,5,5,5,3,0,5,0,4,5,4.489789,5
9,3562,5,4,5,5,3,0,5,0,5,5,4.117302,4
75,4139,5,4,5,5,4,5,5,4,4,5,4.638424,4
9,13314,3,4,4,4,4,0,3,0,3,3,3.462698,3
16,29,4,4,3,4,2,3,4,0,3,3,4.040283,3
75,3517,5,5,5,5,4,5,5,4,5,5,4.766438,5
83,3489,5,5,5,5,0,0,5,0,5,4,4.671719,5
66,151,5,4,5,5,0,0,5,0,5,3,4.445747,4
83,4032,5,4,5,5,5,0,5,0,5,4,4.543704,4
16,3855,5,4,5,5,5,5,5,3,5,5,4.350728,5
70,3138,4,5,5,4,5,5,5,0,3,0,4.822415,5
89,4139,4,4,5,5,5,4,5,4,4,5,4.524804,4
9,3499,5,5,5,5,5,0,5,0,5,5,4.212156,5
16,3499,3,4,4,4,3,0,4,2,3,5,3.532231,4
67,9,5,4,4,4,0,0,5,0,0,5,4.287627,4
73,43,4,4,5,5,4,0,5,0,4,5,4.352383,5
43,20,4,3,4,5,3,5,5,3,4,3,4.171867,4
48,151,5,5,5,4,0,0,5,0,4,5,4.43427,5
83,700,5,5,5,5,5,0,5,0,5,5,4.633602,5
19,72,4,5,5,5,3,5,5,1,3,5,4.518256,4
52,3546,3,4,4,4,4,4,4,3,4,4,4.011703,4
73,3517,4,3,4,4,5,0,5,0,3,5,4.097532,4
16,9,5,3,5,5,4,5,5,0,5,5,4.43222,4
36,151,5,5,4,5,5,5,5,5,5,5,4.360804,4
9,114,0,5,5,5,0,0,5,0,5,5,3.672719,4
84,3517,5,2,4,5,5,5,5,5,4,5,4.285037,5
87,151,4,0,4,4,0,0,4,0,4,4,3.690804,4
89,3745,4,4,4,5,4,3,4,4,3,4,4.191801,4
16,5793,3,5,4,4,2,3,5,2,3,3,4.033707,4
86,9,5,4,5,5,0,0,3,0,5,0,4.259664,3
89,3344,4,4,5,4,4,4,4,4,4,5,4.412864,4
9,15984,5,5,4,5,0,0,5,0,5,4,4.073684,5
71,34,4,4,5,5,5,5,5,4,5,5,4.530264,5
89,13899,4,5,4,4,4,4,4,3,4,4,4.446693,4
66,9,4,2,3,5,0,0,5,0,4,2,3.836797,3
70,3546,4,5,5,4,3,5,5,0,3,0,4.829395,5
83,4018,5,5,5,5,5,0,5,0,4,4,4.683145,5
70,3235,5,5,5,5,3,5,4,0,3,0,4.747451,4
33,151,5,5,5,5,3,5,5,3,5,5,4.644216,5
9,172,4,3,3,2,0,0,3,0,4,3,3.233141,2
85,278,5,5,5,5,5,5,5,5,5,4,4.790186,5
83,4141,5,5,5,5,5,0,5,0,5,5,4.683145,5
67,3517,5,2,5,4,0,0,5,0,0,4,4.286256,4
86,7915,5,0,5,5,0,0,3,0,5,0,3.720115,4
14,229,0,0,3,4,0,0,5,0,3,4,2.821559,3
83,15,5,5,5,5,5,0,5,0,5,5,4.683145,5
83,3975,5,5,5,5,0,0,5,0,5,4,4.683145,5
89,3138,4,5,5,4,4,4,4,4,4,4,4.42987,4
73,3855,3,5,5,5,4,0,5,0,3,5,4.358188,5
16,88,5,4,5,5,2,4,5,2,5,5,4.437313,5
36,3855,3,3,4,3,4,5,5,3,5,5,4.013481,4
75,26825,5,5,5,5,4,5,5,5,5,5,4.742968,5
14,3969,0,4,4,4,0,0,5,0,3,4,3.402947,4
72,151,5,5,4,5,3,0,4,0,4,5,4.257457,4
75,3489,5,4,4,5,3,4,5,3,2,3,4.513182,4
70,151,0,0,0,0,0,0,0,0,0,0,1.523106,5
83,5120,5,5,5,5,5,0,5,0,5,5,4.653549,5
65,3855,5,5,5,4,3,5,5,4,4,5,4.719184,5
9,278,4,5,5,3,4,3,5,0,4,5,4.358844,5
16,3745,4,5,4,5,4,5,5,4,4,5,4.311331,5
89,3855,4,5,4,5,5,5,5,4,4,5,4.739283,4
84,151,5,5,5,5,4,0,5,0,0,5,4.659412,5
