@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
75,43,4,4,4,3,3,4,4,3,3,4,4.236331,4
75,3855,4,4,5,5,3,4,5,4,4,5,4.485967,4
9,151,4,5,4,5,0,0,5,0,5,5,4.152511,5
77,1,5,4,5,4,5,5,5,5,4,5,4.635351,5
85,3517,3,4,5,5,0,1,5,5,5,5,4.356732,4
75,9,5,4,4,5,4,5,4,3,5,5,4.479063,4
86,278,4,0,5,4,0,0,5,0,3,0,3.854602,5
69,3926,3,5,5,5,4,4,5,4,3,4,4.380713,4
9,4139,5,3,5,5,5,0,5,0,5,5,4.047491,4
87,3855,2,3,4,5,0,0,4,0,3,4,3.875527,3
83,7915,5,5,5,5,5,5,5,5,5,5,4.816237,5
73,3499,3,4,5,4,5,0,5,0,3,4,4.221441,4
77,55,4,3,4,4,5,5,5,5,4,4,4.374731,4
73,3192,4,3,4,4,4,0,5,0,3,5,4.257894,4
15,3546,3,5,5,4,5,1,5,5,3,5,3.974703,5
79,3855,4,4,5,5,4,5,5,4,4,4,4.511519,4
15,9,5,3,5,5,3,1,5,4,1,5,3.9374,4
9,27,5,4,5,5,5,0,5,0,4,5,4.127654,4
9,4456,1,2,3,2,1,0,2,0,1,2,2.864895,2
75,29,5,4,5,5,4,5,5,4,4,5,4.622456,4
70,308,3,3,4,3,3,0,3,0,3,0,3.738731,3
82,3855,3,1,3,4,4,4,4,3,4,5,3.832504,3
89,557,4,5,5,4,4,4,4,3,4,3,4.499254,5
9,13307,5,5,5,5,0,0,5,0,5,5,4.246881,5
71,8267,3,5,5,4,3,4,5,3,4,5,4.430267,4
77,557,4,4,3,5,5,5,4,4,4,3,4.34087,4
40,3855,3,4,5,4,4,5,5,4,4,5,4.170746,5
74,9,0,4,4,5,0,0,5,0,5,5,3.805176,4
73,151,4,5,5,5,3,0,5,0,4,5,4.454855,5
9,3562,5,4,5,5,3,0,5,0,5,5,4.122684,4
75,4139,5,4,5,5,4,5,5,4,4,5,4.622456,4
9,13314,3,4,4,4,4,0,3,0,3,3,3.538221,3
16,29,4,4,3,4,2,3,4,0,3,3,3.956784,3
75,3517,5,5,5,5,4,5,5,4,5,5,4.746652,5
83,3489,5,5,5,5,0,0,5,0,5,4,4.640787,5
66,151,5,4,5,5,0,0,5,0,5,3,4.426099,4
83,4032,5,4,5,5,5,0,5,0,5,4,4.516591,4
16,3855,5,4,5,5,5,5,5,3,5,5,4.308395,5
70,3138,4,5,5,4,5,5,5,0,3,0,4.587336,5
89,4139,4,4,5,5,5,4,5,4,4,5,4.534587,4
9,3499,5,5,5,5,5,0,5,0,5,5,4.220206,5
16,3499,3,4,4,4,3,0,4,2,3,5,3.683733,4
67,9,5,4,4,4,0,0,5,0,0,5,4.262573,4
73,43,4,4,5,5,4,0,5,0,4,5,4.264503,5
43,20,4,3,4,5,3,5,5,3,4,3,4.166446,4
48,151,5,5,5,4,0,0,5,0,4,5,4.400389,5
83,700,5,5,5,5,5,0,5,0,5,5,4.562091,5
19,72,4,5,5,5,3,5,5,1,3,5,4.410986,4
52,3546,3,4,4,4,4,4,4,3,4,4,4.062969,4
73,3517,4,3,4,4,5,0,5,0,3,5,4.038906,4
16,9,5,3,5,5,4,5,5,0,5,5,4.259039,4
36,151,5,5,4,5,5,5,5,5,5,5,4.515318,4
9,114,0,5,5,5,0,0,5,0,5,5,3.612394,4
84,3517,5,2,4,5,5,5,5,5,4,5,4.347606,5
87,151,4,0,4,4,0,0,4,0,4,4,3.61402,4
89,3745,4,4,4,5,4,3,4,4,3,4,4.302245,4
16,5793,3,5,4,4,2,3,5,2,3,3,4.073335,4
86,9,5,4,5,5,0,0,3,0,5,0,4.245943,3
89,3344,4,4,5,4,4,4,4,4,4,5,4.451246,4
9,15984,5,5,4,5,0,0,5,0,5,4,4.124434,5
71,34,4,4,5,5,5,5,5,4,5,5,4.521405,5
89,13899,4,5,4,4,4,4,4,3,4,4,4.485299,4
66,9,4,2,3,5,0,0,5,0,4,2,3.896978,3
70,3546,4,5,5,4,3,5,5,0,3,0,4.543821,5
83,4018,5,5,5,5,5,0,5,0,4,4,4.599826,5
70,3235,5,5,5,5,3,5,4,0,3,0,4.471418,4
33,151,5,5,5,5,3,5,5,3,5,5,4.641433,5
9,172,4,3,3,2,0,0,3,0,4,3,3.360543,2
85,278,5,5,5,5,5,5,5,5,5,4,4.815784,5
83,4141,5,5,5,5,5,0,5,0,5,5,4.644764,5
67,3517,5,2,5,4,0,0,5,0,0,4,4.140359,4
86,7915,5,0,5,5,0,0,3,0,5,0,3.861232,4
14,229,0,0,3,4,0,0,5,0,3,4,2.978738,3
83,15,5,5,5,5,5,0,5,0,5,5,4.644764,5
83,3975,5,5,5,5,0,0,5,0,5,4,4.644764,5
89,3138,4,5,5,4,4,4,4,4,4,4,4.405926,4
73,3855,3,5,5,5,4,0,5,0,3,5,4.247687,5
16,88,5,4,5,5,2,4,5,2,5,5,4.475742,5
36,3855,3,3,4,3,4,5,5,3,5,5,4.086547,4
75,26825,5,5,5,5,4,5,5,5,5,5,4.781835,5
14,3969,0,4,4,4,0,0,5,0,3,4,3.420822,4
72,151,5,5,4,5,3,0,4,0,4,5,4.211897,4
75,3489,5,4,4,5,3,4,5,3,2,3,4.398579,4
70,151,0,0,0,0,0,0,0,0,0,0,1.564229,5
83,5120,5,5,5,5,5,0,5,0,5,5,4.673028,5
65,3855,5,5,5,4,3,5,5,4,4,5,4.66328,5
9,278,4,5,5,3,4,3,5,0,4,5,4.299021,5
16,3745,4,5,4,5,4,5,5,4,4,5,4.217915,5
89,3855,4,5,4,5,5,5,5,4,4,5,4.611669,4
84,151,5,5,5,5,4,0,5,0,0,5,4.479156,5
89,3670,3,4,4,4,4,5,4,4,4,3,4.233012,4
83,14549,5,5,5,5,5,0,5,5,5,5,4.471021,5
70,3517,4,5,5,4,4,5,5,3,4,0,4.622365,5
74,3855,0,3,4,4,0,0,5,4,4,5,3.603457,4
84,3855,4,4,5,3,4,5,5,5,4,5,4.514397,5
88,3546,3,5,5,4,4,5,5,4,3,5,4.530914,4
16,3517,5,5,4,5,4,4,5,3,5,4,4.348696,4
70,4233,5,3,5,3,3,5,5,0,3,0,4.606643,4
89,5545,5,5,4,4,4,5,4,3,4,4,4.592665,4
9,386,5,4,5,4,0,0,4,0,3,3,3.923802,4
16,6303,4,4,4,4,0,4,4,0,4,5,4.051389,4
66,3975,0,2,4,5,0,0,5,0,4,3,3.619232,3
16,313,4,2,3,4,2,4,3,2,3,3,3.484905,3
71,43,4,5,4,5,5,5,5,5,4,5,4.474178,4
73,9,4,4,5,5,4,0,5,0,4,5,4.36827,5
