@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
75,43,4,4,4,3,3,4,4,3,3,4,3.889403,4
75,3855,4,4,5,5,3,4,5,4,4,5,4.680691,4
9,151,4,5,4,5,0,0,5,0,5,5,4.396156,5
77,1,5,4,5,4,5,5,5,5,4,5,4.681336,5
85,3517,3,4,5,5,0,1,5,5,5,5,4.838258,4
75,9,5,4,4,5,4,5,4,3,5,5,4.343649,4
86,278,4,0,5,4,0,0,5,0,3,0,4.073512,5
69,3926,3,5,5,5,4,4,5,4,3,4,4.527617,4
9,4139,5,3,5,5,5,0,5,0,5,5,4.35856,4
87,3855,2,3,4,5,0,0,4,0,3,4,3.813297,3
83,7915,5,5,5,5,5,5,5,5,5,5,4.983024,5
73,3499,3,4,5,4,5,0,5,0,3,4,4.245106,4
77,55,4,3,4,4,5,5,5,5,4,4,4.261988,4
73,3192,4,3,4,4,4,0,5,0,3,5,4.051565,4
15,3546,3,5,5,4,5,1,5,5,3,5,4.226013,5
79,3855,4,4,5,5,4,5,5,4,4,4,4.664606,4
15,9,5,3,5,5,3,1,5,4,1,5,4.102026,4
9,27,5,4,5,5,5,0,5,0,4,5,4.36558,4
9,4456,1,2,3,2,1,0,2,0,1,2,2.208884,2
75,29,5,4,5,5,4,5,5,4,4,5,4.735522,4
70,308,3,3,4,3,3,0,3,0,3,0,3.420061,3
82,3855,3,1,3,4,4,4,4,3,4,5,3.560011,3
89,557,4,5,5,4,4,4,4,3,4,3,4.480415,5
9,13307,5,5,5,5,0,0,5,0,5,5,4.661136,5
71,8267,3,5,5,4,3,4,5,3,4,5,4.540851,4
77,557,4,4,3,5,5,5,4,4,4,3,4.026843,4
40,3855,3,4,5,4,4,5,5,4,4,5,4.303108,5
74,9,0,4,4,5,0,0,5,0,5,5,4.188566,4
73,151,4,5,5,5,3,0,5,0,4,5,4.65783,5
9,3562,5,4,5,5,3,0,5,0,5,5,4.483521,4
75,4139,5,4,5,5,4,5,5,4,4,5,4.719613,4
9,13314,3,4,4,4,4,0,3,0,3,3,3.268901,3
16,29,4,4,3,4,2,3,4,0,3,3,3.593057,3
75,3517,5,5,5,5,4,5,5,4,5,5,4.959095,5
83,3489,5,5,5,5,0,0,5,0,5,4,5.010065,5
66,151,5,4,5,5,0,0,5,0,5,3,4.827608,4
83,4032,5,4,5,5,5,0,5,0,5,4,4.724465,4
16,3855,5,4,5,5,5,5,5,3,5,5,4.535356,5
70,3138,4,5,5,4,5,5,5,0,3,0,4.369687,5
89,4139,4,4,5,5,5,4,5,4,4,5,4.635489,4
9,3499,5,5,5,5,5,0,5,0,5,5,4.47977,5
16,3499,3,4,4,4,3,0,4,2,3,5,3.601916,4
67,9,5,4,4,4,0,0,5,0,0,5,4.184581,4
73,43,4,4,5,5,4,0,5,0,4,5,4.466279,5
43,20,4,3,4,5,3,5,5,3,4,3,4.261405,4
48,151,5,5,5,4,0,0,5,0,4,5,4.691625,5
83,700,5,5,5,5,5,0,5,0,5,5,4.788398,5
19,72,4,5,5,5,3,5,5,1,3,5,4.553201,4
52,3546,3,4,4,4,4,4,4,3,4,4,3.922408,4
73,3517,4,3,4,4,5,0,5,0,3,5,3.956105,4
16,9,5,3,5,5,4,5,5,0,5,5,4.38377,4
36,151,5,5,4,5,5,5,5,5,5,5,4.645165,4
9,114,0,5,5,5,0,0,5,0,5,5,4.24928,4
84,3517,5,2,4,5,5,5,5,5,4,5,4.279199,5
87,151,4,0,4,4,0,0,4,0,4,4,3.500873,4
89,3745,4,4,4,5,4,3,4,4,3,4,4.15685,4
16,5793,3,5,4,4,2,3,5,2,3,3,4.20646,4
86,9,5,4,5,5,0,0,3,0,5,0,4.273052,3
89,3344,4,4,5,4,4,4,4,4,4,5,4.315297,4
9,15984,5,5,4,5,0,0,5,0,5,4,4.541266,5
71,34,4,4,5,5,5,5,5,4,5,5,4.678886,5
89,13899,4,5,4,4,4,4,4,3,4,4,4.330949,4
66,9,4,2,3,5,0,0,5,0,4,2,4.026816,3
70,3546,4,5,5,4,3,5,5,0,3,0,4.563715,5
83,4018,5,5,5,5,5,0,5,0,4,4,4.794203,5
70,3235,5,5,5,5,3,5,4,0,3,0,4.4119,4
33,151,5,5,5,5,3,5,5,3,5,5,4.784041,5
9,172,4,3,3,2,0,0,3,0,4,3,3.285682,2
85,278,5,5,5,5,5,5,5,5,5,4,5.051444,5
83,4141,5,5,5,5,5,0,5,0,5,5,4.885081,5
67,3517,5,2,5,4,0,0,5,0,0,4,3.874807,4
86,7915,5,0,5,5,0,0,3,0,5,0,3.739221,4
14,229,0,0,3,4,0,0,5,0,3,4,2.74115,3
83,15,5,5,5,5,5,0,5,0,5,5,4.924026,5
83,3975,5,5,5,5,0,0,5,0,5,4,5.030616,5
89,3138,4,5,5,4,4,4,4,4,4,4,4.470868,4
73,3855,3,5,5,5,4,0,5,0,3,5,4.341955,5
16,88,5,4,5,5,2,4,5,2,5,5,4.561959,5
36,3855,3,3,4,3,4,5,5,3,5,5,3.978927,4
75,26825,5,5,5,5,4,5,5,5,5,5,4.751094,5
14,3969,0,4,4,4,0,0,5,0,3,4,3.48288,4
72,151,5,5,4,5,3,0,4,0,4,5,4.346853,4
75,3489,5,4,4,5,3,4,5,3,2,3,4.328412,4
70,151,0,0,0,0,0,0,0,0,0,0,0.73273,5
83,5120,5,5,5,5,5,0,5,0,5,5,4.832746,5
65,3855,5,5,5,4,3,5,5,4,4,5,4.796288,5
9,278,4,5,5,3,4,3,5,0,4,5,4.304155,5
16,3745,4,5,4,5,4,5,5,4,4,5,4.361282,5
89,3855,4,5,4,5,5,5,5,4,4,5,4.622946,4
84,151,5,5,5,5,4,0,5,0,0,5,4.337839,5
89,3670,3,4,4,4,4,5,4,4,4,3,4.104029,4
83,14549,5,5,5,5,5,0,5,5,5,5,4.770698,5
70,3517,4,5,5,4,4,5,5,3,4,0,4.636351,5
74,3855,0,3,4,4,0,0,5,4,4,5,3.807206,4
84,3855,4,4,5,3,4,5,5,5,4,5,4.529594,5
88,3546,3,5,5,4,4,5,5,4,3,5,4.521167,4
16,3517,5,5,4,5,4,4,5,3,5,4,4.546072,4
70,4233,5,3,5,3,3,5,5,0,3,0,4.400486,4
89,5545,5,5,4,4,4,5,4,3,4,4,4.446809,4
9,386,5,4,5,4,0,0,4,0,3,3,4.058655,4
16,6303,4,4,4,4,0,4,4,0,4,5,4.063472,4
66,3975,0,2,4,5,0,0,5,0,4,3,3.763908,3
16,313,4,2,3,4,2,4,3,2,3,3,3.246715,3
71,43,4,5,4,5,5,5,5,5,4,5,4.551655,4
73,9,4,4,5,5,4,0,5,0,4,5,4.511643,5
9,41,4,4,5,4,5,0,5,0,3,5,4.024498,4
9,4696,2,5,5,3,3,0,5,0,3,3,4.023452,4
83,118,4,4,5,4,4,0,5,0,4,3,4.626213,4
75,10026,5,5,5,5,4,5,5,5,4,5,4.843995,5
25,3499,3,4,5,0,0,5,5,0,3,4,4.193721,4
16,557,5,5,5,5,4,5,4,2,5,4,4.384383,4
74,151,0,4,5,5,0,0,4,0,4,4,3.786965,4
75,41,4,4,5,4,4,5,5,4,3,5,4.452859,4
83,7448,5,5,5,5,0,0,5,0,5,4,5.059396,5
19,3517,5,5,5,5,4,5,5,3,5,4,4.699729,5
