@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
75,43,4,4,4,3,3,4,4,3,3,4,3.837418,4
75,3855,4,4,5,5,3,4,5,4,4,5,4.355835,4
9,151,4,5,4,5,0,0,5,0,5,5,4.533149,5
77,1,5,4,5,4,5,5,5,5,4,5,4.713854,5
85,3517,3,4,5,5,0,1,5,5,5,5,4.390474,4
75,9,5,4,4,5,4,5,4,3,5,5,4.298579,4
86,278,4,0,5,4,0,0,5,0,3,0,3.913192,5
69,3926,3,5,5,5,4,4,5,4,3,4,4.330027,4
9,4139,5,3,5,5,5,0,5,0,5,5,4.180329,4
87,3855,2,3,4,5,0,0,4,0,3,4,3.807241,3
83,7915,5,5,5,5,5,5,5,5,5,5,4.943976,5
73,3499,3,4,5,4,5,0,5,0,3,4,4.172098,4
77,55,4,3,4,4,5,5,5,5,4,4,4.392341,4
73,3192,4,3,4,4,4,0,5,0,3,5,4.034431,4
15,3546,3,5,5,4,5,1,5,5,3,5,2.941686,5
79,3855,4,4,5,5,4,5,5,4,4,4,4.48446,4
15,9,5,3,5,5,3,1,5,4,1,5,3.825922,4
9,27,5,4,5,5,5,0,5,0,4,5,4.24986,4
9,4456,1,2,3,2,1,0,2,0,1,2,2.856709,2
75,29,5,4,5,5,4,5,5,4,4,5,4.595178,4
70,308,3,3,4,3,3,0,3,0,3,0,3.240678,3
82,3855,3,1,3,4,4,4,4,3,4,5,3.706706,3
89,557,4,5,5,4,4,4,4,3,4,3,4.317303,5
9,13307,5,5,5,5,0,0,5,0,5,5,4.848382,5
71,8267,3,5,5,4,3,4,5,3,4,5,4.313129,4
77,557,4,4,3,5,5,5,4,4,4,3,4.148759,4
40,3855,3,4,5,4,4,5,5,4,4,5,4.360395,5
74,9,0,4,4,5,0,0,5,0,5,5,4.020654,4
73,151,4,5,5,5,3,0,5,0,4,5,4.781019,5
9,3562,5,4,5,5,3,0,5,0,5,5,4.485938,4
75,4139,5,4,5,5,4,5,5,4,4,5,4.605812,4
9,13314,3,4,4,4,4,0,3,0,3,3,3.493581,3
16,29,4,4,3,4,2,3,4,0,3,3,3.49475,3
75,3517,5,5,5,5,4,5,5,4,5,5,4.82752,5
83,3489,5,5,5,5,0,0,5,0,5,4,4.772807,5
66,151,5,4,5,5,0,0,5,0,5,3,4.501264,4
83,4032,5,4,5,5,5,0,5,0,5,4,4.603823,4
16,3855,5,4,5,5,5,5,5,3,5,5,4.651718,5
70,3138,4,5,5,4,5,5,5,0,3,0,4.483669,5
89,4139,4,4,5,5,5,4,5,4,4,5,4.53865,4
9,3499,5,5,5,5,5,0,5,0,5,5,4.301184,5
16,3499,3,4,4,4,3,0,4,2,3,5,3.340262,4
67,9,5,4,4,4,0,0,5,0,0,5,3.963772,4
73,43,4,4,5,5,4,0,5,0,4,5,4.488426,5
43,20,4,3,4,5,3,5,5,3,4,3,3.952699,4
48,151,5,5,5,4,0,0,5,0,4,5,4.77526,5
83,700,5,5,5,5,5,0,5,0,5,5,4.780398,5
19,72,4,5,5,5,3,5,5,1,3,5,4.616625,4
52,3546,3,4,4,4,4,4,4,3,4,4,3.832907,4
73,3517,4,3,4,4,5,0,5,0,3,5,3.966675,4
16,9,5,3,5,5,4,5,5,0,5,5,4.490438,4
36,151,5,5,4,5,5,5,5,5,5,5,4.704003,4
9,114,0,5,5,5,0,0,5,0,5,5,4.350641,4
84,3517,5,2,4,5,5,5,5,5,4,5,4.188995,5
87,151,4,0,4,4,0,0,4,0,4,4,3.769174,4
89,3745,4,4,4,5,4,3,4,4,3,4,4.003408,4
16,5793,3,5,4,4,2,3,5,2,3,3,4.005115,4
86,9,5,4,5,5,0,0,3,0,5,0,3.940959,3
89,3344,4,4,5,4,4,4,4,4,4,5,4.328787,4
9,15984,5,5,4,5,0,0,5,0,5,4,4.449303,5
71,34,4,4,5,5,5,5,5,4,5,5,4.576128,5
89,13899,4,5,4,4,4,4,4,3,4,4,4.251522,4
66,9,4,2,3,5,0,0,5,0,4,2,3.768251,3
70,3546,4,5,5,4,3,5,5,0,3,0,4.46144,5
83,4018,5,5,5,5,5,0,5,0,4,4,4.614239,5
70,3235,5,5,5,5,3,5,4,0,3,0,4.400033,4
33,151,5,5,5,5,3,5,5,3,5,5,4.584973,5
9,172,4,3,3,2,0,0,3,0,4,3,3.339023,2
85,278,5,5,5,5,5,5,5,5,5,4,4.936845,5
83,4141,5,5,5,5,5,0,5,0,5,5,4.765298,5
67,3517,5,2,5,4,0,0,5,0,0,4,3.917483,4
86,7915,5,0,5,5,0,0,3,0,5,0,4.019741,4
14,229,0,0,3,4,0,0,5,0,3,4,3.524763,3
83,15,5,5,5,5,5,0,5,0,5,5,4.775757,5
83,3975,5,5,5,5,0,0,5,0,5,4,4.738124,5
89,3138,4,5,5,4,4,4,4,4,4,4,4.53582,4
73,3855,3,5,5,5,4,0,5,0,3,5,4.4638,5
