"QuantosProjetosRecomendar";"successMean";"sdSuccessMean";"failMean";"sdFailMean"
6;0.974358974358974;2.48667162337192;7.28205128205128;9.87806905792273
12;1.17948717948718;3.33144345885806;7.07692307692308;8.9100316479579
18;1.43589743589744;4.40570725426196;6.82051282051282;7.88026113270164
